timestamp,open,high,low,close,volume
2023-09-29 19:59:00,131.82,131.82,131.82,131.82,43
2023-09-29 19:58:00,131.8,131.8,131.8,131.8,5
2023-09-29 19:57:00,131.8,131.82,131.8,131.82,44
2023-09-29 19:56:00,131.8,131.82,131.78,131.8,171
2023-09-29 19:53:00,131.71,131.71,131.71,131.71,1
2023-09-29 19:52:00,131.8,131.8,131.8,131.8,2
2023-09-29 19:51:00,131.82,131.82,131.82,131.82,120
2023-09-29 19:50:00,131.71,131.75,131.71,131.75,11
2023-09-29 19:49:00,131.67,131.74,131.67,131.74,28
2023-09-29 19:46:00,131.82,131.82,131.82,131.82,25
2023-09-29 19:42:00,131.68,131.7,131.68,131.7,404
2023-09-29 19:41:00,131.8,131.8,131.8,131.8,15
2023-09-29 19:40:00,131.8,131.8,131.8,131.8,60
2023-09-29 19:39:00,131.7,131.8,131.7,131.8,130
2023-09-29 19:37:00,131.62,131.7,131.62,131.7,109
2023-09-29 19:36:00,131.5,131.5,131.5,131.5,1
2023-09-29 19:34:00,131.6,131.655,131.55,131.655,42
2023-09-29 19:32:00,131.55,131.55,131.55,131.55,200
2023-09-29 19:31:00,131.63,131.63,131.63,131.63,110
2023-09-29 19:30:00,131.75,131.75,131.56,131.56,3
2023-09-29 19:29:00,131.63,131.75,131.63,131.75,51
2023-09-29 19:28:00,131.63,131.63,131.63,131.63,1200
2023-09-29 19:27:00,131.59,131.63,131.59,131.63,2001
2023-09-29 19:26:00,131.63,131.63,131.6,131.61,385
2023-09-29 19:25:00,131.7,131.7,131.63,131.63,20
2023-09-29 19:24:00,131.73,131.73,131.67,131.71,3056
2023-09-29 19:23:00,131.78,131.78,131.705,131.705,379
2023-09-29 19:22:00,131.84,131.84,131.77,131.77,354
2023-09-29 19:21:00,131.85,131.88,131.85,131.85,275
2023-09-29 19:20:00,131.91,131.91,131.91,131.91,10
2023-09-29 19:18:00,131.91,131.91,131.91,131.91,24
2023-09-29 19:17:00,131.81,131.86,131.81,131.86,50
2023-09-29 19:16:00,131.9,131.9,131.8,131.81,614
2023-09-29 19:15:00,131.86,131.86,131.86,131.86,10
2023-09-29 19:14:00,131.91,131.91,131.885,131.91,31
2023-09-29 19:12:00,131.91,131.91,131.91,131.91,1
2023-09-29 19:11:00,131.96,131.96,131.915,131.915,6
2023-09-29 19:10:00,131.915,131.915,131.915,131.915,1
2023-09-29 19:09:00,131.88,131.92,131.88,131.92,3
2023-09-29 19:07:00,131.97,131.97,131.97,131.97,2
2023-09-29 19:06:00,131.99,131.99,131.99,131.99,10
2023-09-29 19:05:00,131.87,131.87,131.87,131.87,95
2023-09-29 19:04:00,131.98,131.98,131.87,131.87,6
2023-09-29 19:03:00,131.88,131.98,131.86,131.925,187
2023-09-29 19:02:00,131.92,131.99,131.9,131.925,22
2023-09-29 19:00:00,131.925,131.925,131.925,131.925,2
2023-09-29 18:59:00,131.99,131.99,131.99,131.99,57
2023-09-29 18:58:00,131.9,131.9,131.9,131.9,99
2023-09-29 18:57:00,131.99,131.99,131.945,131.945,5
2023-09-29 18:56:00,131.87,131.99,131.87,131.99,197
2023-09-29 18:55:00,131.925,131.925,131.925,131.925,2
2023-09-29 18:54:00,131.87,131.87,131.87,131.87,100
2023-09-29 18:52:00,131.925,131.93,131.925,131.93,6
2023-09-29 18:51:00,131.96,131.99,131.93,131.93,199
2023-09-29 18:50:00,131.92,131.92,131.92,131.92,1
2023-09-29 18:49:00,131.868,131.99,131.868,131.99,30
2023-09-29 18:46:00,131.93,131.93,131.86,131.93,42
2023-09-29 18:45:00,131.985,131.985,131.93,131.93,5
2023-09-29 18:44:00,131.93,131.93,131.93,131.93,2
2023-09-29 18:42:00,131.93,131.93,131.93,131.93,1
2023-09-29 18:41:00,132.0,132.0,132.0,132.0,2
2023-09-29 18:38:00,131.87,131.95,131.86,131.95,311
2023-09-29 18:37:00,131.91,131.91,131.86,131.86,35
2023-09-29 18:36:00,131.864,131.864,131.864,131.864,30
2023-09-29 18:35:00,131.91,131.91,131.91,131.91,1
2023-09-29 18:33:00,131.93,131.98,131.93,131.98,900
2023-09-29 18:32:00,131.97,131.97,131.97,131.97,8
2023-09-29 18:27:00,131.86,131.9,131.86,131.86,500
2023-09-29 18:26:00,131.85,131.89,131.85,131.885,27
2023-09-29 18:25:00,131.89,131.89,131.89,131.89,1
2023-09-29 18:24:00,131.86,131.93,131.86,131.93,8
2023-09-29 18:23:00,131.85,131.97,131.85,131.97,26
2023-09-29 18:22:00,131.9,131.9,131.9,131.9,40
2023-09-29 18:21:00,131.91,131.91,131.89,131.89,93
2023-09-29 18:20:00,131.97,131.97,131.97,131.97,50
2023-09-29 18:19:00,131.91,131.91,131.91,131.91,5
2023-09-29 18:18:00,131.91,131.91,131.91,131.91,1
2023-09-29 18:17:00,131.91,131.91,131.91,131.91,3
2023-09-29 18:15:00,131.91,131.91,131.91,131.91,1
2023-09-29 18:14:00,131.95,132.05,131.95,131.95,11
2023-09-29 18:13:00,131.95,131.95,131.95,131.95,7
2023-09-29 18:12:00,131.95,131.95,131.95,131.95,3
2023-09-29 18:11:00,131.95,131.95,131.95,131.95,1
2023-09-29 18:10:00,131.85,131.95,131.85,131.95,24
2023-09-29 18:09:00,131.86,131.86,131.86,131.86,1
2023-09-29 18:07:00,131.95,131.95,131.95,131.95,5
2023-09-29 18:06:00,131.85,131.95,131.85,131.95,2312
2023-09-29 18:05:00,131.86,131.95,131.86,131.95,51
2023-09-29 18:04:00,131.86,131.86,131.86,131.86,30
2023-09-29 18:03:00,131.95,131.95,131.95,131.95,1
2023-09-29 18:00:00,131.9,131.92,131.86,131.92,13
2023-09-29 17:59:00,131.89,131.92,131.89,131.92,51
2023-09-29 17:57:00,131.92,131.92,131.92,131.92,4
2023-09-29 17:55:00,131.93,131.94,131.92,131.92,213
2023-09-29 17:53:00,131.922,131.922,131.922,131.922,175
2023-09-29 17:52:00,132.0,132.0,131.93,131.96,47
2023-09-29 17:51:00,131.92,131.92,131.92,131.92,98
2023-09-29 17:49:00,131.985,131.985,131.985,131.985,1
2023-09-29 17:48:00,131.985,132.0,131.985,131.985,3
2023-09-29 17:47:00,132.0,132.0,132.0,132.0,2
